Country,Model,Voll,Deviation_proposed,Deviation_baseline,Deviation,Value,Total Cost,Ratio,Value_baseline,Value_proposed
France,Proposed_vs_CNN,8193.0,102944.22087493604,341383.9866024336,238439.76572749758,1953537.0006053876,1139393782.6516733,0.0017145406885220892,2796959002.2337384,843422001.628351
France,Proposed_vs_impactnet,8193.0,102944.22087493604,298551.4497204624,195607.22884552635,1602610.0259313972,1139393782.6516733,0.0014065462268906682,2446032027.5597477,843422001.628351
France,Proposed_vs_informer,8193.0,102944.22087493604,371034.91569729766,268090.69482236163,2196467.062679609,1139393782.6516733,0.001927750612758167,3039889064.3079596,843422001.628351
France,Proposed_vs_LSTM,8193.0,102944.22087493604,52781.33832640479,-50162.88254853125,-410984.49672011647,1139393782.6516733,-0.0003607045281251631,432437504.9082344,843422001.628351
France,Proposed_vs_nbeats,8193.0,102944.22087493604,321620.0427526912,218675.82187775517,1791611.008644448,1139393782.6516733,0.0015724247717719601,2635033010.272799,843422001.628351
France,Proposed_vs_ANN,8193.0,102944.22087493604,540724.7859774544,437780.5651025183,3586736.169884932,1139393782.6516733,0.00314793377364026,4430158171.513284,843422001.628351
Slovenia,Proposed_vs_autoformer,7495.0,3368.4636260699995,17471.435862689996,14102.972236619997,105701.77691346688,30691237.004528344,0.0034440376873004857,130948411.79086152,25246634.877394646
Slovenia,Proposed_vs_CNN,7495.0,3368.4636260699995,10092.49173216,6724.02810609,50396.59065514455,30691237.004528344,0.0016420514639963447,75643225.5325392,25246634.877394646
Slovenia,Proposed_vs_impactnet,7495.0,3368.4636260699995,4296.538145520001,928.0745194500016,6955.918523277762,30691237.004528344,0.00022664184315058562,32202553.400672413,25246634.877394646
Slovenia,Proposed_vs_informer,7495.0,3368.4636260699995,5450.658397019999,2082.19477095,15606.04980827025,30691237.004528344,0.0005084855265353968,40852684.68566489,25246634.877394646
Slovenia,Proposed_vs_LSTM,7495.0,3368.4636260699995,2892.528900360002,-475.93472570999734,-3567.1307691964303,30691237.004528344,-0.00011622636026922334,21679504.108198218,25246634.877394646
Slovenia,Proposed_vs_nbeats,7495.0,3368.4636260699995,6323.767337969998,2955.303711899999,22150.001320690495,30691237.004528344,0.0007217044173691132,47396636.19808514,25246634.877394646
Slovenia,Proposed_vs_ANN,7495.0,3368.4636260699995,787.9444983899994,-2580.51912768,-19340.9908619616,30691237.004528344,-0.0006301795805463276,5905644.015433045,25246634.877394646
Ireland,Proposed_vs_autoformer,9614.0,9818.411290409796,22225.100291016504,12406.689000606706,119277.90805183288,68926428.72696044,0.0017305104914738978,213672114.19783267,94394206.14599979
Ireland,Proposed_vs_CNN,9614.0,9818.411290409796,19757.012816757604,9938.601526347808,95549.71507430782,68926428.72696044,0.0013862565758747014,189943921.22030762,94394206.14599979
Ireland,Proposed_vs_impactnet,9614.0,9818.411290409796,29702.6712849535,19884.259994543703,191167.27558754318,68926428.72696044,0.002773497468508309,285561481.733543,94394206.14599979
Ireland,Proposed_vs_informer,9614.0,9818.411290409796,13973.476313313695,4155.0650229039,39946.7951301981,68926428.72696044,0.0005795570127162702,134341001.27619788,94394206.14599979
Ireland,Proposed_vs_LSTM,9614.0,9818.411290409796,25540.290415735202,15721.879125325408,151150.1459108785,68926428.72696044,0.0021929200265058332,245544352.05687824,94394206.14599979
Ireland,Proposed_vs_nbeats,9614.0,9818.411290409796,16365.094057845801,6546.682767436005,62939.808126129756,68926428.72696044,0.0009131447731820607,157334014.27212954,94394206.14599979
Ireland,Proposed_vs_ANN,9614.0,9818.411290409796,5514.438431472901,-4303.972858936895,-41378.39506581931,68926428.72696044,-0.0006003269838588669,53015811.08018048,94394206.14599979
Sweden,Proposed_vs_autoformer,4957.0,41627.54601221999,290850.62342216,249223.07740994,1235398.7947210725,322151799.7794708,0.003834834371767488,1441746540.303647,206347745.5825745
Sweden,Proposed_vs_CNN,4957.0,41627.54601221999,128991.66043569996,87364.11442347997,433063.9151971902,322151799.7794708,0.001344285257737639,639411660.7797647,206347745.5825745
Sweden,Proposed_vs_impactnet,4957.0,41627.54601221999,72668.86909907997,31041.32308685998,153871.8385415649,322151799.7794708,0.00047763768089111394,360219584.12413937,206347745.5825745
Sweden,Proposed_vs_informer,4957.0,41627.54601221999,87287.98996659997,45660.44395437998,226338.82068186157,322151799.7794708,0.0007025843743129851,432686566.26443607,206347745.5825745
Sweden,Proposed_vs_LSTM,4957.0,41627.54601221999,44741.281291199986,3113.7352789800025,15434.785777903871,322151799.7794708,4.791153049112177e-05,221782531.3604783,206347745.5825745
Sweden,Proposed_vs_nbeats,4957.0,41627.54601221999,78139.49627777998,36511.95026556,180989.73746638093,322151799.7794708,0.0005618150747265033,387337483.0489553,206347745.5825745
Sweden,Proposed_vs_ANN,4957.0,41627.54601221999,46061.22054813999,4433.674535920003,21977.724674555455,322151799.7794708,6.822164175273992e-05,228325470.2571299,206347745.5825745
Lithuania,Proposed_vs_autoformer,7444.0,3277.1755763,19957.079276250002,16679.903699950002,124165.20314242781,36240613.6995308,0.0034261341204615235,148560498.132405,24395294.9899772
Lithuania,Proposed_vs_CNN,7444.0,3277.1755763,11686.08332985,8408.90775355,62595.9093174262,36240613.6995308,0.001727230941407502,86991204.3074034,24395294.9899772
Lithuania,Proposed_vs_impactnet,7444.0,3277.1755763,19923.686781800003,16646.511205500003,123916.62941374202,36240613.6995308,0.0034192751381400127,148311924.40371922,24395294.9899772
Lithuania,Proposed_vs_informer,7444.0,3277.1755763,13025.71059485,9748.53501855,72568.0946780862,36240613.6995308,0.0020023969593822226,96963389.66806339,24395294.9899772
Lithuania,Proposed_vs_LSTM,7444.0,3277.1755763,10259.29369695,6982.11812065,51974.8872901186,36240613.6995308,0.0014341613450875833,76370182.2800958,24395294.9899772
Lithuania,Proposed_vs_nbeats,7444.0,3277.1755763,4849.750118500002,1572.5745422000011,11706.244892136809,36240613.6995308,0.00032301453251296254,36101539.88211401,24395294.9899772
Lithuania,Proposed_vs_ANN,7444.0,3277.1755763,1324.1815195500003,-1952.99405675,-14538.087758447,36240613.6995308,-0.0004011545687107175,9857207.231530203,24395294.9899772
Denmark,Proposed_vs_autoformer,11254.0,14474.347910579992,54699.870280223986,40225.522369644,452698.02874797356,67038130.34434858,0.006752843887838777,615592340.1336406,162894311.38566723
Denmark,Proposed_vs_CNN,11254.0,14474.347910579992,28560.174103788,14085.826193208006,158521.88797836288,67038130.34434858,0.0023646525815099275,321416199.3640301,162894311.38566723
Denmark,Proposed_vs_impactnet,11254.0,14474.347910579992,20430.732099432003,5956.384188852011,67033.14766134052,67038130.34434858,0.000999925673896595,229927459.04700774,162894311.38566723
Denmark,Proposed_vs_informer,11254.0,14474.347910579992,23725.874905656005,9251.52699507601,104116.68480258541,67038130.34434858,0.0015530964880401473,267010996.18825263,162894311.38566723
Denmark,Proposed_vs_LSTM,11254.0,14474.347910579992,11532.133833407994,-2942.214077171997,-33111.67722449365,67038130.34434858,-0.0004939230413260625,129782634.16117355,162894311.38566723
Denmark,Proposed_vs_nbeats,11254.0,14474.347910579992,30171.807730523997,15697.459819944004,176659.21281364982,67038130.34434858,0.0026352049483811786,339553524.19931704,162894311.38566723
Denmark,Proposed_vs_ANN,11254.0,14474.347910579992,25493.500745232,11019.152834652006,124009.54600117367,67038130.34434858,0.0018498359868359287,286903857.38684094,162894311.38566723
