autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
18028.1827163257,18105.039068354,19622.765137599,18685.810359818,18944.811708916,17936.924987689,17954.7380312246,19157.6926620885,18961.6753162744
17667.698064635697,17749.224213155,19112.944080438,18381.6832153186,18321.041004526294,17775.0361298545,17574.3911972194,18952.0864048416,18748.875827765
16859.392310962,17125.555234069998,18349.496372159,18101.5956034754,17514.452621626,17281.971608189,16925.145127899,18176.664657377,18201.529389081697
16139.983358383,16549.3672092735,17744.330705413,17250.9228784315,17073.467094301,16764.112844967698,16541.064707883397,17560.755222627,17470.864102405998
15442.0876897107,15772.563657912,16958.4772601046,16425.492380240998,16258.444797238,15864.402050909,15758.875061931,16606.006254963,16683.809932685
13968.0541161728,14675.8572385875,15502.245896287,15336.708012480998,15290.769821631,14823.7119439426,14729.4947546433,15466.713796081,16019.9311777646
13369.9463283475,13607.0138445267,14368.6227588816,13913.925560956,14252.9783934024,13774.12150596,13720.6847672345,14360.564370083,15099.3648671567
12772.1673538515,14004.7420578423,13758.5649913826,14052.3247374355,14002.6719549266,13717.196138009,13641.939110377,13857.0277699894,14085.028086257
12666.6035017617,13310.8191633104,13309.3557540515,13593.5600750098,13285.3733451487,13022.3837450313,12925.4631670674,13191.4769493414,13387.91709535
12109.9274597183,12761.515743626998,12833.186356298,13092.3516196145,12702.7497526662,12343.9163432666,12462.357099383298,12772.757585737,12862.2769794642
11423.3036020217,12423.068760644,12418.9738598584,12354.4394953954,12423.9112656572,12297.2901347956,12081.5385019664,12375.7339925126,12538.5751005023
12123.5665296865,12343.427555288,12477.797818766,12217.411992492,12177.0879691498,12339.5743752126,11995.1835671991,12385.63441131,12387.7607937857
11964.488835874,12543.121504058,12719.342655341,12703.2344603767,12233.2086800917,12702.1890675497,12319.4417696116,12540.5996169744,12721.8449852775
12567.608740614,12947.4172606278,13393.7244424475,13059.506587000698,12455.0625649128,12995.1852406723,12852.5610169247,13052.3555654082,13149.3159611608
13189.3827869138,13584.2265320805,14095.9678478287,13450.4771728482,13292.80463895,13675.4004041728,13383.9347536844,13679.637973643,13829.5859972323
13582.4189733122,14426.573259018,14718.4936483512,14492.593403865,14157.9082873713,14663.843663011,14198.9986976218,14446.417431874,14732.739693373998
14877.7864707818,15467.726828160998,15562.033079864,15385.0147286136,15254.897230087,15438.203977974,15017.9782919462,15474.108930265,15722.343014642698
15902.518789908,16398.4396399424,16460.4514138273,15874.7877402125,16363.607376065,16220.3035766304,16053.751816551,16535.2974599724,16681.9110603306
16770.1451696063,17289.902805182,17474.547599608,16733.794623899,17228.7546411453,17500.6621596414,17047.356192439,17617.231761087,17637.528984401
16969.8516405784,18091.375798175,18052.8317566167,17901.940206204,17855.938700849,17674.8583723556,17615.608095781,18413.52703456,18455.6404665124
18360.0423175096,18566.054491083,18566.019316358,18725.253889444,18323.272911177,18324.738571618294,18319.355853801,19112.578263298,19073.620144877
17980.859626203,18789.86845228,18878.3673568855,18827.1965739445,18580.376232114,18723.3464344567,18813.120352494,19387.0137189304,19269.178952976
18614.6808751164,18845.7731904104,18989.5940583025,18519.6581846146,18533.69796505,18822.929879802,18945.052304035,19571.841984722,19296.819251881
