autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
18300.0874803079,17605.4577544243,18023.9887190566,17491.2348071066,17693.9584782605,17938.2013528531,18140.1036420807,17532.04019659263,17254.7454727409
19046.8914878692,18278.63135688696,18730.96536650913,18187.66903024996,18322.1478153254,18399.435277229648,18718.5650424001,18131.18389209714,18050.525712721337
19656.9519340592,18692.2299611965,18944.5722210376,18631.65774864136,18715.8898294389,18744.5212198668,18948.02914546674,18479.0241343144,18494.43076713325
19739.45529834436,18885.028388826096,19233.6834012266,18898.663837398297,19025.5024990701,18898.8571037339,19123.299333648654,18665.91166364836,18894.6433890222
19257.444988593,19105.4054139502,19451.9090668781,18977.297806206498,19186.40842115636,18989.23581689695,19211.2365335379,18807.490443579,19258.3019722127
19780.9551751495,19100.873826976,19353.450040802298,18906.4275495376,19293.4739023138,19005.0315253651,19408.1266129304,18776.7509243062,19359.97201673537
19461.49278844357,18827.56318691354,18955.76234186884,18363.41373814534,19029.136414775,18864.1963122309,19089.137983044497,18855.63003620324,19093.2855803256
18705.6365417397,18191.0445793799,18366.44217076463,17954.77826419357,18443.0715099366,18237.062311077498,18707.8870773582,18401.55561236943,18562.711000607294
17989.7271751153,17480.183024283997,17715.810289073797,17277.5636152322,17784.6741360218,17713.6004411049,17908.439354361937,17794.13782902095,17943.96806429047
18065.7673062615,16824.59462397846,16940.15263479866,16797.53733699446,17260.98466950925,16924.96342660736,17326.1904424604,17193.2994929106,17417.0739367763
15442.74032443846,15693.555271632698,16020.8797837304,15750.132465592738,16239.6699905201,15943.304965300851,16312.008562743938,16187.5592832949,16362.78420646664
15008.31294940525,14740.004601563298,14751.073422339168,14605.629569994338,15108.782199669098,14626.4758872669,14917.381138505449,15054.435197502758,15301.64064158186
13678.2909009885,14440.4417813833,14296.603311113,13899.11472736477,14258.2246856278,14174.4589870138,13681.094534343749,14120.6877150893,14297.1983679884
13176.69660829342,13796.8852276601,13523.48863493786,13332.33042818276,13604.6284543658,13815.64630289066,12934.76428360248,13463.579631071198,13110.11177831864
12851.94304705482,13444.391589817653,12972.5407318736,12914.37315940982,13113.60099856965,13127.6929117108,12448.19593990468,13018.599151220798,12544.9516792491
12653.1630263384,12942.7675442788,12595.47963690486,12503.69287676784,12852.852924619,12888.47394465256,12039.97547997883,12706.89666218702,12234.855843778898
12245.336219422428,12953.63674127382,12646.217135956058,12531.82177472318,12708.92621300863,12727.6951714713,12141.278064166048,12683.474053801348,12038.277279203649
12923.571365495329,12803.91483687136,12643.48750326352,12646.67639780092,13089.31377762998,12927.721505754527,12340.705272808918,13034.371464290429,12045.59825885574
12879.44916967347,12824.0486116803,12957.17885546931,12581.9443816698,13584.260471273848,12890.299548630548,12538.7340977946,13453.16766153856,11815.87070325794
13055.1112307806,13379.593964851549,13148.78284628534,12875.621987632969,13976.0151480022,13446.4526735677,13401.24488039495,14229.68382522026,12150.69979802655
13603.1306402649,14288.70354964535,13994.3729069061,13583.4835914643,14633.673786778949,14213.2394030388,14120.925483541649,14762.2556599383,12815.5855805635
15091.21149248715,15154.1031553673,14652.1853958579,14339.4219763608,15315.170302265098,14851.134524617968,14918.749769318869,15570.0733410529,13612.420139264195
15654.138093891455,16308.251566899,15482.281090915358,15088.8121926498,16168.784475982598,15827.7507689478,15786.24021163464,16288.572222276527,14258.193406997168
16300.01613232215,17127.64132415546,16390.78722700603,15701.252866341398,16944.9319078398,16556.81928434627,16797.469693777,16839.67473840927,14646.70146358525
17078.6010086882,17402.35873970284,17137.31150697633,16318.6625192404,17694.047482494,17631.466317239858,17732.9728482707,17394.59070450077,15013.4535796344
